gen,idx,w_pnl,w_sortino,w_mdd,fitness,eval_pnl,eval_sortino,eval_drawdown,eval_ret_mean
1,19,1.6395,2.0000,1.2603,-2.0142,-0.1710,-0.8670,0.0000,-2.7408
1,20,0.4563,1.2446,0.6122,-15.4880,-2.7498,-11.4362,0.0000,-6.2291
1,21,0.3890,1.6191,1.5739,-24.3248,-0.7550,-14.0769,0.7871,-3.0402
1,22,1.3556,0.4599,0.4050,-9.2123,-1.4575,-15.7335,0.0000,-4.1865
1,23,1.7180,0.7977,0.3460,47.4154,4.3843,50.0000,0.0000,-2.4692
1,24,0.1148,1.2898,1.7848,-21.8031,-3.2539,-15.8118,0.5801,-4.2740
1,25,1.4099,1.4575,0.5776,75.7182,2.6091,50.0000,1.4434,-2.6093
1,26,0.9899,0.5501,1.1046,31.7120,4.2506,50.0000,0.0000,-2.6957
1,27,1.8176,0.9364,0.4964,-5.9150,-0.3538,-2.2311,6.4123,-2.8942
1,28,0.9711,1.3434,1.4677,-0.8420,-0.1308,-0.5321,0.0000,-2.5135
1,29,0.5177,0.3427,0.0000,-4.5561,-0.2533,-12.9119,0.0000,-2.6552
1,30,0.5347,0.8665,0.3684,3.6474,1.5876,8.2521,11.8135,-5.3885
1,31,2.0000,1.3042,1.1494,-27.9187,-5.3163,-13.2538,0.0000,-3.1494
1,32,1.5696,1.0936,0.0027,63.1710,5.4220,50.0000,7.9605,-1.8885
1,33,1.2372,1.6079,0.2805,-33.3075,-6.6024,-15.6342,0.0000,-5.2160
1,34,1.4539,0.7823,1.4350,43.4932,3.5908,50.0000,0.5857,-2.4107
1,35,0.5082,1.5767,1.4180,-26.6904,-2.1831,-15.7685,0.5071,-3.8964
1,36,0.3475,0.5165,0.4907,-12.7781,-5.8750,-13.0415,8.1547,-1.9999
1,37,0.6830,1.6125,1.8233,-39.1594,-6.4514,-14.1607,6.5374,-2.9228
1,38,1.6186,1.0336,0.9155,-16.2119,-0.7107,-13.8713,0.7910,-3.1905
1,39,0.2565,1.3733,1.1899,-3.0676,-0.1094,-2.2134,0.0000,-2.3284
1,40,1.3850,1.0690,0.5546,233.3288,3.6736,213.4997,0.0000,-2.4762
1,41,1.4456,1.7220,0.9754,-32.3253,-3.4122,-13.5450,4.1709,-2.8292
1,42,1.3249,1.0911,0.6214,-21.8123,-3.0969,-15.6935,0.9434,-2.8987
1,43,1.3021,1.4538,1.8571,5.2887,2.7428,17.2884,12.6091,-2.1134
1,44,1.5310,0.9196,1.0199,52.2561,4.0984,50.0000,0.0000,-2.4877
1,45,0.3886,0.8094,0.7242,-3.0021,-0.8341,-3.3084,0.0000,-4.2323
1,46,1.4454,0.6028,0.3014,-14.7404,-4.6102,-13.3981,0.0000,-3.8159
1,47,1.5929,1.7868,1.3350,-43.7547,-6.9483,-15.2224,4.1109,-2.7549
2,0,1.3850,1.0690,0.5546,62.9262,6.8406,50.0000,0.0000,-3.1811
2,1,1.1758,1.1489,0.4512,-22.5516,-4.0599,-15.4742,0.0000,-2.6669
2,2,1.4936,1.8647,1.2401,-39.2064,-5.6605,-15.8098,1.0251,-3.7579
