recorded_at_utc,dataset_window,instrument,contract,bar_type,candle_mode,source_rows,strategy,calculation_mode,fast_length,slow_length,selection,take_profit_ticks,stop_loss_ticks,use_trailing_stop,trail_trigger_ticks,trail_offset_ticks,gross_pnl,fees,net_pnl,max_drawdown,net_to_drawdown,trade_count,fill_count,win_rate_pct,profit_factor,execution_backend,source_output,strategy_parameters
2026-08-09,2026-07-05T22:00:00Z/2026-08-03T23:35:00Z,GC,GCZ6,minute_1,standard,19190,VolumeAdaptiveHmaCross,incremental,210,240,hma_210-240_tp3_month,3,0,false,0,0,1160.00,979.60,180.40,1931.30,0.093409,158,316,96.8354,1.052124,prepared_cpu_reference,.run/replay-sweeps/gc-fast-hma-tp0-10-20260809/210-240/runs/gcz6_hma_210_240_tp0_10_month_20260809-000004/result.json,"{""session_filter"":""full_source"",""selection"":""hma_210-240_tp3_month"",""native_volume_hma_cross.ema_gate.enabled"":false,""native_volume_hma_cross.volume_regime.invert_below_relative_volume"":0.0,""native_volume_hma_cross.take_profit_ticks"":3,""native_volume_hma_cross.stop_loss_ticks"":0,""native_volume_hma_cross.use_trailing_stop"":false}"
2026-08-09,2026-07-05T22:00:00Z/2026-08-03T23:35:00Z,GC,GCZ6,minute_1,standard,19190,VolumeAdaptiveHmaCross,incremental,210,240,hma_210-240_tp9_month,9,0,false,0,0,1110.00,979.60,130.40,4521.50,0.028840,158,316,91.7722,1.010848,prepared_cpu_reference,.run/replay-sweeps/gc-fast-hma-tp0-10-20260809/210-240/runs/gcz6_hma_210_240_tp0_10_month_20260809-000010/result.json,"{""session_filter"":""full_source"",""selection"":""hma_210-240_tp9_month"",""native_volume_hma_cross.ema_gate.enabled"":false,""native_volume_hma_cross.volume_regime.invert_below_relative_volume"":0.0,""native_volume_hma_cross.take_profit_ticks"":9,""native_volume_hma_cross.stop_loss_ticks"":0,""native_volume_hma_cross.use_trailing_stop"":false}"
2026-08-09,2026-07-05T22:00:00Z/2026-08-03T23:35:00Z,GC,GCZ6,minute_1,standard,19190,VolumeAdaptiveHmaCross,incremental,210,240,hma_210-240_tp10_month,10,0,false,0,0,1470.00,979.60,490.40,4891.50,0.100256,158,316,91.1392,1.037674,prepared_cpu_reference,.run/replay-sweeps/gc-fast-hma-tp0-10-20260809/210-240/runs/gcz6_hma_210_240_tp0_10_month_20260809-000011/result.json,"{""session_filter"":""full_source"",""selection"":""hma_210-240_tp10_month"",""native_volume_hma_cross.ema_gate.enabled"":false,""native_volume_hma_cross.volume_regime.invert_below_relative_volume"":0.0,""native_volume_hma_cross.take_profit_ticks"":10,""native_volume_hma_cross.stop_loss_ticks"":0,""native_volume_hma_cross.use_trailing_stop"":false}"
2026-08-09,2026-07-05T22:00:00Z/2026-08-03T23:35:00Z,GC,GCZ6,minute_1,standard,19190,VolumeAdaptiveHmaCross,incremental,10,30,fast_hma_10_30_baseline_month,0,0,false,0,0,-41320.00,12520.90,-53840.90,56127.60,-0.959259,2020,2041,37.8405,0.863830,prepared_cpu_reference,.run/replay-sweeps/gc-fast-hma-gates-20260809/10-30-gates-month/runs/gcz6_fast_hma_10_30_gate_month_20260809-000001/result.json,"{""session_filter"":""full_source"",""selection"":""fast_hma_10_30_baseline_month"",""native_volume_hma_cross.ema_gate.enabled"":false,""native_volume_hma_cross.ema_gate.ema_length"":960,""native_volume_hma_cross.volume_regime.lookback_bars"":30,""native_volume_hma_cross.volume_regime.invert_below_relative_volume"":0.0}"
2026-08-09,2026-07-05T22:00:00Z/2026-08-03T23:35:00Z,GC,GCZ6,minute_1,standard,19190,VolumeAdaptiveHmaCross,incremental,10,30,fast_hma_10_30_ema960_month,0,0,false,0,0,-11450.00,11231.30,-22681.30,36066.60,-0.628873,1812,1832,45.6654,0.932865,prepared_cpu_reference,.run/replay-sweeps/gc-fast-hma-gates-20260809/10-30-gates-month/runs/gcz6_fast_hma_10_30_gate_month_20260809-000002/result.json,"{""session_filter"":""full_source"",""selection"":""fast_hma_10_30_ema960_month"",""native_volume_hma_cross.ema_gate.enabled"":true,""native_volume_hma_cross.ema_gate.ema_length"":960,""native_volume_hma_cross.volume_regime.lookback_bars"":30,""native_volume_hma_cross.volume_regime.invert_below_relative_volume"":0.0}"
2026-08-09,2026-07-05T22:00:00Z/2026-08-03T23:35:00Z,GC,GCZ6,minute_1,standard,19190,VolumeAdaptiveHmaCross,incremental,10,30,fast_hma_10_30_volume_lb30_cutoff35_month,0,0,false,0,0,-3970.00,8931.10,-12901.10,22135.00,-0.582837,1441,1462,41.3889,0.958030,prepared_cpu_reference,.run/replay-sweeps/gc-fast-hma-gates-20260809/10-30-gates-month/runs/gcz6_fast_hma_10_30_gate_month_20260809-000003/result.json,"{""session_filter"":""full_source"",""selection"":""fast_hma_10_30_volume_lb30_cutoff35_month"",""native_volume_hma_cross.ema_gate.enabled"":false,""native_volume_hma_cross.ema_gate.ema_length"":960,""native_volume_hma_cross.volume_regime.lookback_bars"":30,""native_volume_hma_cross.volume_regime.invert_below_relative_volume"":0.35}"
2026-08-09,2026-07-05T22:00:00Z/2026-08-03T23:35:00Z,GC,GCZ6,minute_1,standard,19190,VolumeAdaptiveHmaCross,incremental,10,30,fast_hma_10_30_combined_lb30_cutoff35_ema960_month,0,0,false,0,0,-3420.00,8125.10,-11545.10,25972.40,-0.444514,1311,1331,46.7176,0.958584,prepared_cpu_reference,.run/replay-sweeps/gc-fast-hma-gates-20260809/10-30-gates-month/runs/gcz6_fast_hma_10_30_gate_month_20260809-000004/result.json,"{""session_filter"":""full_source"",""selection"":""fast_hma_10_30_combined_lb30_cutoff35_ema960_month"",""native_volume_hma_cross.ema_gate.enabled"":true,""native_volume_hma_cross.ema_gate.ema_length"":960,""native_volume_hma_cross.volume_regime.lookback_bars"":30,""native_volume_hma_cross.volume_regime.invert_below_relative_volume"":0.35}"
2026-08-09,2026-07-27T00:00:00.173Z/2026-08-02T23:59:26.210Z,GC,GCZ6,minute_1,standard,6584,VolumeAdaptiveHmaCross,incremental,10,30,fast_hma_10_30_baseline_prior,0,0,false,0,0,-12940.00,4064.10,-17004.10,24585.40,-0.691634,656,661,37.7099,0.839764,prepared_cpu_reference,.run/replay-sweeps/gc-fast-hma-gates-20260809/10-30-gates-prior/runs/gcz6_fast_hma_10_30_gate_prior_20260809-000001/result.json,"{""session_filter"":""full_source"",""selection"":""fast_hma_10_30_baseline_prior"",""native_volume_hma_cross.ema_gate.enabled"":false,""native_volume_hma_cross.ema_gate.ema_length"":960,""native_volume_hma_cross.volume_regime.lookback_bars"":30,""native_volume_hma_cross.volume_regime.invert_below_relative_volume"":0.0}"
2026-08-09,2026-07-27T00:00:00.173Z/2026-08-02T23:59:26.210Z,GC,GCZ6,minute_1,standard,6584,VolumeAdaptiveHmaCross,incremental,10,30,fast_hma_10_30_ema960_prior,0,0,false,0,0,3790.00,3413.10,376.90,9955.50,0.037858,551,556,45.0909,1.004510,prepared_cpu_reference,.run/replay-sweeps/gc-fast-hma-gates-20260809/10-30-gates-prior/runs/gcz6_fast_hma_10_30_gate_prior_20260809-000002/result.json,"{""session_filter"":""full_source"",""selection"":""fast_hma_10_30_ema960_prior"",""native_volume_hma_cross.ema_gate.enabled"":true,""native_volume_hma_cross.ema_gate.ema_length"":960,""native_volume_hma_cross.volume_regime.lookback_bars"":30,""native_volume_hma_cross.volume_regime.invert_below_relative_volume"":0.0}"
2026-08-09,2026-07-27T00:00:00.173Z/2026-08-02T23:59:26.210Z,GC,GCZ6,minute_1,standard,6584,VolumeAdaptiveHmaCross,incremental,10,30,fast_hma_10_30_volume_lb30_cutoff35_prior,0,0,false,0,0,-6330.00,2929.50,-9259.50,13583.00,-0.681698,473,478,40.4661,0.892082,prepared_cpu_reference,.run/replay-sweeps/gc-fast-hma-gates-20260809/10-30-gates-prior/runs/gcz6_fast_hma_10_30_gate_prior_20260809-000003/result.json,"{""session_filter"":""full_source"",""selection"":""fast_hma_10_30_volume_lb30_cutoff35_prior"",""native_volume_hma_cross.ema_gate.enabled"":false,""native_volume_hma_cross.ema_gate.ema_length"":960,""native_volume_hma_cross.volume_regime.lookback_bars"":30,""native_volume_hma_cross.volume_regime.invert_below_relative_volume"":0.35}"
